form;field_id;description_en;method;relevant_charge_card;notes
S11;010;Cash in hand;input;Y;Z010S11
S11;020;Balances with central banks;input;Y;Z020S11
S11;030;(Blank item — vacant);nil;N;Z030S11
S11;040;Treasury bills eligible for refinancing — total;calculate;N;Z040S11
S11;041;  with Deutsche Bundesbank;input;N;Z041S11
S11;042;  with other establishment-country central banks;input;N;Z042S11
S11;050;Bills eligible for refinancing — total;calculate;N;Z050S11
S11;051;  with Deutsche Bundesbank;input;N;Z051S11
S11;052;  with other establishment-country central banks;input;N;Z052S11
S11;060;Loans and advances to banks (MFIs) — total;calculate;Y;Z060S11
S11;061;  Book claims on banks (MFIs);input;Y;Z061S11 → sum = Annex A1 row 100 all cols
S11;062;  Bills received from banks;input;N;Z062S11
S11;070;Loans and advances to non-banks (non-MFIs) — total;calculate;Y;Z070S11
S11;071;  Book claims on non-banks;input;Y;Z071S11 → sum = Annexes B1+B3+B7
S11;072;  Bills received from non-banks;input;N;Z072S11
S11;080;Debt instruments — total;calculate;N;Z080S11
S11;081;  Money market paper (excl. item 040);input;N;Z081S11
S11;082;  Bonds and notes;input;N;Z082S11
S11;083;  Own debt securities (sub-item of 082);sub;N;Z083S11 — included in 082
S11;090;Shares and other variable-yield securities;input;N;Z090S11
S11;100;Participations;input;N;Z100S11
S11;110;Shares in affiliated enterprises;input;Y;Z110S11
S11;120;Fiduciary assets — total;calculate;N;Z120S11
S11;121;  Fiduciary loans;input;N;Z121S11
S11;122;  Securities managed on fiduciary basis;input;N;Z122S11
S11;123;  Other fiduciary assets;input;N;Z123S11
S11;130;Equalisation claims on general government;input;N;Z130S11
S11;140;Tangible assets;input;Y;Z140S11
S11;150;Subscribed capital unpaid;input;N;Z150S11
S11;160;Own shares;input;N;Z160S11
S11;170;Other assets — total;calculate;Y;Z170S11
S11;171;  Cheques, matured debt sec., coupons, items for collection;input;N;Z171S11
S11;172;  Assets leased;input;N;Z172S11
S11;173;  Prepayments for savings bonds and discount papers;input;N;Z173S11
S11;174;  Credit balance on items in process of settlement;input;N;Z174S11
S11;175;  Credit balance on income and expenditure accounts;input;Y;Z175S11
S11;176;  Others (intangibles, prepaid, deferred tax, derivatives, gold);input;Y;Z176S11
S11;180;Total assets;calculate;Y;Z180S11 — must equal HV21/330
S12;011;Domestic legal tender (sub of 010);sub;N;Z011S12
S12;048;Legal tender denominated in Deutsche Mark (sub of 010);sub;N;Z048S12
