CNTRPRTY_ID;NM_CP;ADDRS_STRT;CITY;PSTL_CD;CNTRY
NCP-001;Deutsche Bank GmbH;Taunusanlage 12;Frankfurt am Main;60325;DE
NCP-002;Müller Maschinenbau AG;Industriestr. 7;Stuttgart;70174;DE
NCP-003;Kommerz Bank AG;Kaiserplatz 16;Frankfurt am Main;60311;DE
NCP-004;Siemens GmbH;Werner-von-Siemens-Str. 1;München;80333;DE
NCP-005;Schmitt & Co. GmbH;Hauptstr. 4;Berlin;10115;DE
NCP-006;Volkswagen GmbH;Berliner Ring 2;Wolfsburg;38440;DE
NCP-007;BMW AG;Petuelring 130;München;80788;DE
NCP-008;Thyssen Krupp AG;ThyssenKrupp Allee 1;Essen;45143;DE
NCP-009;Allianz SE;Königinstraße 28;München;80802;DE
NCP-010;ING Bank NV;Bijlmerplein 888;Amsterdam;1102MG;NL
