src_id;src_name;src_street;src_city;src_postal;src_country;dup_count;duplicate_id_combination;has_more;dup1_id;dup1_name;dup1_street;dup1_city;dup1_postal;dup1_country;dup1_name_score;dup1_overall_score;dup1_confidence;dup2_id;dup2_name;dup2_street;dup2_city;dup2_postal;dup2_country;dup2_name_score;dup2_overall_score;dup2_confidence;dup3_id;dup3_name;dup3_street;dup3_city;dup3_postal;dup3_country;dup3_name_score;dup3_overall_score;dup3_confidence
CP-007;Siemens AG;Werner-von-Siemens-Str. 1;München;80333;DE;3;CP-007;1;CP-015;Siemens GmbH;Werner-von-Siemens-Str. 1;München;80333;DE;1.0;1.0;HIGH;CP-016;Siemens AG;Werner-von-Siemens-Strasse 1;Muenchen;80333;DE;1.0;1.0;HIGH;CP-008;Siemens AG;Wittelsbacherplatz 2;München;80333;DE;1.0;0.9479;HIGH
CP-015;Siemens GmbH;Werner-von-Siemens-Str. 1;München;80333;DE;3;CP-007;1;CP-007;Siemens AG;Werner-von-Siemens-Str. 1;München;80333;DE;1.0;1.0;HIGH;CP-016;Siemens AG;Werner-von-Siemens-Strasse 1;Muenchen;80333;DE;1.0;1.0;HIGH;CP-008;Siemens AG;Wittelsbacherplatz 2;München;80333;DE;1.0;0.9479;HIGH
CP-016;Siemens AG;Werner-von-Siemens-Strasse 1;Muenchen;80333;DE;3;CP-007;1;CP-007;Siemens AG;Werner-von-Siemens-Str. 1;München;80333;DE;1.0;1.0;HIGH;CP-015;Siemens GmbH;Werner-von-Siemens-Str. 1;München;80333;DE;1.0;1.0;HIGH;CP-008;Siemens AG;Wittelsbacherplatz 2;München;80333;DE;1.0;0.9479;HIGH
CP-008;Siemens AG;Wittelsbacherplatz 2;München;80333;DE;3;CP-007;1;CP-007;Siemens AG;Werner-von-Siemens-Str. 1;München;80333;DE;1.0;0.9479;HIGH;CP-015;Siemens GmbH;Werner-von-Siemens-Str. 1;München;80333;DE;1.0;0.9479;HIGH;CP-016;Siemens AG;Werner-von-Siemens-Strasse 1;Muenchen;80333;DE;1.0;0.9479;HIGH
CP-001;Deutsche Bank AG;Taunusanlage 12;Frankfurt am Main;60325;DE;2;CP-001;1;CP-002;Deutsche Bank AG;Taunusanlage 12;Frankfurt am Main;60325;DE;1.0;1.0;HIGH;CP-013;Deutsche Bankhaus GmbH;Taunusanlage 12;Frankfurt am Main;60325;DE;0.9529;0.9741;HIGH;;;;;;;;;
CP-002;Deutsche Bank AG;Taunusanlage 12;Frankfurt am Main;60325;DE;2;CP-001;1;CP-001;Deutsche Bank AG;Taunusanlage 12;Frankfurt am Main;60325;DE;1.0;1.0;HIGH;CP-013;Deutsche Bankhaus GmbH;Taunusanlage 12;Frankfurt am Main;60325;DE;0.9529;0.9741;HIGH;;;;;;;;;
CP-003;Müller Maschinenbau GmbH;Industriestr. 7;Stuttgart;70174;DE;2;CP-003;1;CP-004;Mueller Maschinenbau GmbH;Industriestraße 7;Stuttgart;70174;DE;1.0;0.9956;HIGH;CP-014;Muller Maschinenbau KG;Industriestrasse 7;Stuttgart;70174;DE;0.9025;0.9419;HIGH;;;;;;;;;
CP-004;Mueller Maschinenbau GmbH;Industriestraße 7;Stuttgart;70174;DE;2;CP-003;1;CP-003;Müller Maschinenbau GmbH;Industriestr. 7;Stuttgart;70174;DE;1.0;0.9956;HIGH;CP-014;Muller Maschinenbau KG;Industriestrasse 7;Stuttgart;70174;DE;0.9025;0.9464;HIGH;;;;;;;;;
CP-013;Deutsche Bankhaus GmbH;Taunusanlage 12;Frankfurt am Main;60325;DE;2;CP-001;1;CP-001;Deutsche Bank AG;Taunusanlage 12;Frankfurt am Main;60325;DE;0.9529;0.9741;HIGH;CP-002;Deutsche Bank AG;Taunusanlage 12;Frankfurt am Main;60325;DE;0.9529;0.9741;HIGH;;;;;;;;;
CP-014;Muller Maschinenbau KG;Industriestrasse 7;Stuttgart;70174;DE;2;CP-003;1;CP-004;Mueller Maschinenbau GmbH;Industriestraße 7;Stuttgart;70174;DE;0.9025;0.9464;HIGH;CP-003;Müller Maschinenbau GmbH;Industriestr. 7;Stuttgart;70174;DE;0.9025;0.9419;HIGH;;;;;;;;;
CP-005;Commerzbank AG;Kaiserplatz 16;Frankfurt am Main;60311;DE;1;CP-005;0;CP-006;Commerz Bank AG;Kaiserplatz 16;Frankfurt am Main;60311;DE;0.9833;0.9908;HIGH;;;;;;;;;;;;;;;;;;
CP-006;Commerz Bank AG;Kaiserplatz 16;Frankfurt am Main;60311;DE;1;CP-005;0;CP-005;Commerzbank AG;Kaiserplatz 16;Frankfurt am Main;60311;DE;0.9833;0.9908;HIGH;;;;;;;;;;;;;;;;;;
CP-009;Schmidt & Co. KG;Hauptstr. 4;Berlin;10115;DE;1;CP-009;0;CP-010;Schmitt und Co KG;Hauptstraße 4;Berlin;10115;DE;0.9229;0.9519;HIGH;;;;;;;;;;;;;;;;;;
CP-010;Schmitt und Co KG;Hauptstraße 4;Berlin;10115;DE;1;CP-009;0;CP-009;Schmidt & Co. KG;Hauptstr. 4;Berlin;10115;DE;0.9229;0.9519;HIGH;;;;;;;;;;;;;;;;;;
