batch_id;key;num_value;decimal_value;the_date;the_timestamp;a_value
1;K001;10;10,5;2026-01-15;2026-01-15 08:30:00;alpha
1;K002;;12,75;2026-01-16;;beta
1;K003;25;;;2026-01-17 09:00:00;
1;;30;30,0;2026-01-18;2026-01-18 10:15:00;delta
1;K005;5;5,25;;;epsilon
1;K006;;;;;
1;K007;100;;2026-01-20;2026-01-20 12:00:00;zeta
1;K008;0;0,0;2026-01-21;2026-01-21 13:45:00;eta
2;K001;10;10,5;2026-01-15;2026-01-15 08:30:00;alpha
2;K002;;12,75;2026-01-16;;beta
2;K003;25;;;2026-01-17 09:00:00;
2;;30;30,0;2026-01-18;2026-01-18 10:15:00;delta
2;K005;5;5,25;;;epsilon
2;K006;;;;;
2;K007;100;;2026-01-20;2026-01-20 12:00:00;zeta
2;K008;0;0,0;2026-01-21;2026-01-21 13:45:00;eta
