timestamp;env;implementation;target_tps;duration_s;sent;received;errors;achieved_tps;p50_ms;p90_ms;p95_ms;p99_ms;max_ms;advice_0120_sent;advice_0120_acked;advice_0420_sent;advice_0420_acked;comment
2026-08-21T21:04:06+02:00;LAPTOP-P5P268SM;router_py;100;120;11625;11625;0;96,87;3,15;3,61;3,74;4,58;6,22
2026-08-21T21:07:58+02:00;LAPTOP-P5P268SM;router_java;100;120;11340;11340;0;94,49;10,98;11,58;11,92;12,9;48,18
2026-08-21T21:10:48+02:00;LAPTOP-P5P268SM;router_cpp;100;120;11500;11500;0;95,83;2,72;3,41;3,61;4,56;11,48
2026-08-21T22:37:40+02:00;serverhp.home;router_py;100;6;572;572;0;95,25;15,78;17,96;19,38;33,33;52,04
2026-08-21T22:38:23+02:00;serverhp.home;router_java;100;6;580;580;0;96,56;15,4;18,65;20,78;27,17;52,45
2026-08-21T22:38:59+02:00;serverhp.home;router_cpp;100;6;578;578;0;96,27;11,88;15,74;17,05;19,08;52,35
2026-08-21T22:57:03+02:00;LAPTOP-P5P268SM;router_py;100;120;11592;11592;0;96,6;2,9;3,6;4,46;5,48;11,31
2026-08-21T23:01:26+02:00;LAPTOP-P5P268SM;router_java;100;120;11429;11429;0;95,24;10,79;11,08;11,29;26,95;101,17
2026-08-21T23:09:17+02:00;LAPTOP-P5P268SM;router_cpp;100;120;11602;11602;0;96,68;2,18;2,74;3,04;3,55;6,24
2026-08-21T23:13:41+02:00;serverhp.home;router_py;100;120;11491;11491;0;95,75;15,75;17,64;18,52;26,14;78,23
2026-08-21T23:16:42+02:00;serverhp.home;router_java;100;120;11636;11636;0;96,96;15,27;16,89;18,04;25,67;83,64
2026-08-21T23:19:37+02:00;serverhp.home;router_cpp;100;120;11604;11604;0;96,7;15,38;17,01;17,98;23,38;80,58
2026-08-22T17:13:17+02:00;LAPTOP-P5P268SM;router_py;100;120;11638;11638;0;96,98;2,95;3,19;3,36;3,67;5,85
2026-08-22T17:16:06+02:00;LAPTOP-P5P268SM;router_java;100;120;11589;11589;0;96,57;3,31;4,41;4,68;5,26;9,96
2026-08-22T17:18:52+02:00;LAPTOP-P5P268SM;router_cpp;100;120;11501;11501;0;95,84;2,66;3,55;3,68;3,87;5,29
2026-08-22T20:01:45+02:00;LAPTOP-P5P268SM;router_py;100;120;11327;11327;0;94,39;4,72;5,5;5,7;6,15;9,45
2026-08-22T20:04:36+02:00;LAPTOP-P5P268SM;router_java;100;120;11585;11585;0;96,54;3,33;4,47;4,78;5,44;9,1
2026-08-22T20:07:23+02:00;LAPTOP-P5P268SM;router_cpp;100;120;11545;11545;0;96,2;2,46;3,6;3,72;3,91;5,88
2026-08-22T20:18:21+02:00;LAPTOP-P5P268SM;router_py;100;600;57698;57698;0;96,16;3,22;4,5;4,76;11,44;75,9
2026-08-22T20:30:50+02:00;LAPTOP-P5P268SM;router_java;100;600;54055;54055;0;90,09;11,8;12,67;12,83;13,16;46,02
2026-08-22T20:43:14+02:00;LAPTOP-P5P268SM;router_cpp;100;600;54963;54963;0;91,6;5,46;6,17;6,77;12,21;44,39
2026-08-29T20:08:17+02:00;LAPTOP-P5P268SM;router_py_before_kill;100;60;0;0;0;0,0;None;None;None;None;None
2026-08-29T20:10:24+02:00;LAPTOP-P5P268SM;router_py_during_kill;100;120;10768;10768;0;89,73;3,55;4,65;11,88;12,49;45,07
2026-08-29T20:28:09+02:00;LAPTOP-P5P268SM;router_py_before_kill;100;18;1699;0;1699;94,36;None;None;None;None;None
2026-08-29T20:28:58+02:00;LAPTOP-P5P268SM;router_py_during_kill;100;42;3899;3899;0;92,81;11,32;11,76;11,92;12,66;91,57
2026-08-29T20:32:11+02:00;LAPTOP-P5P268SM;router_py_before_kill;100;18;1728;1728;0;95,95;42,27;49,15;80,99;95,76;102,56
2026-08-29T20:33:00+02:00;LAPTOP-P5P268SM;router_py_during_kill;100;42;4002;4002;0;95,28;10,91;11,2;11,28;11,44;63,26
2026-08-29T20:34:08+02:00;LAPTOP-P5P268SM;router_py_after_kill;100;60;5761;5761;0;96,0;42,08;43,7;44,17;46,21;75,46
2026-08-29T20:39:05+02:00;LAPTOP-P5P268SM;router_py_before_kill;100;18;1728;1728;0;95,95;42,19;44,19;44,75;50,26;77,95
2026-08-29T20:39:54+02:00;LAPTOP-P5P268SM;router_py_during_kill;100;42;3996;3996;0;95,14;10,93;11,19;11,28;11,49;73,58
2026-08-29T20:41:01+02:00;LAPTOP-P5P268SM;router_py_after_kill;100;60;5757;5757;0;95,94;42,13;44,39;45,08;52,59;77,92
2026-08-29T20:57:07+02:00;LAPTOP-P5P268SM;router_py_before_kill;100;18;0;0;0;0,0;None;None;None;None;None;3;3;2;2
2026-08-29T20:57:56+02:00;LAPTOP-P5P268SM;router_py_during_kill;100;42;3837;3837;0;91,34;3,55;4,2;4,51;5,82;18,28;0;0;0;0
2026-08-29T20:59:04+02:00;LAPTOP-P5P268SM;router_py_after_kill;100;60;5605;1203;4402;93,4;3,67;646,35;879,7;1064,05;1193,57;4402;4402;4402;4402
2026-08-29T21:01:34+02:00;LAPTOP-P5P268SM;router_py_before_kill;100;18;1654;389;1265;91,84;845,36;981,66;995,85;1035,93;1090,95;1265;1265;1265;1265
2026-08-29T21:02:23+02:00;LAPTOP-P5P268SM;router_py_during_kill;100;42;4000;4000;0;95,23;3,34;11,06;11,16;11,38;43,63;0;0;0;0
2026-08-29T21:03:31+02:00;LAPTOP-P5P268SM;router_py_after_kill;100;60;5748;4208;1540;95,79;42,22;1117,42;1142,0;1172,29;1196,31;1540;1540;1540;1540
2026-08-29T21:06:22+02:00;LAPTOP-P5P268SM;router_py_before_kill;100;18;0;0;0;0,0;None;None;None;None;None;1;0;1;0
2026-08-29T21:07:11+02:00;LAPTOP-P5P268SM;router_py_during_kill;100;42;4029;4029;0;95,93;1,72;2,24;2,45;2,82;5,16;0;0;0;0
2026-08-29T21:08:18+02:00;LAPTOP-P5P268SM;router_py_after_kill;100;60;5753;4663;1090;95,88;43,3;946,1;985,16;1046,93;1143,97;1090;1090;1090;1090
2026-08-29T21:14:39+02:00;LAPTOP-P5P268SM;router_py_before_kill;100;18;1691;0;1691;93,94;None;None;None;None;None;1704;1704;1703;1703
2026-08-29T21:15:28+02:00;LAPTOP-P5P268SM;router_py_during_kill;100;42;3799;3799;0;90,45;11,85;12,38;12,56;17,92;298,68;0;0;0;0
2026-08-29T21:16:36+02:00;LAPTOP-P5P268SM;router_py_after_kill;100;60;5608;1206;4402;93,45;3,63;652,04;876,15;1054,89;1153,35;4402;4402;4402;4402
2026-08-29T21:22:31+02:00;LAPTOP-P5P268SM;router_py_before_kill;60;18;1040;1039;1;57,73;378,28;877,32;953,48;993,9;1005,0;1;1;1;1
2026-08-29T21:23:21+02:00;LAPTOP-P5P268SM;router_py_during_kill;60;42;2379;2379;0;56,63;3,87;5,38;5,92;7,09;19,34;0;0;0;0
2026-08-29T21:24:29+02:00;LAPTOP-P5P268SM;router_py_after_kill;60;60;3416;3416;0;56,93;36,57;103,38;354,02;480,61;674,43;0;0;0;0
2026-08-29T21:33:45+02:00;LAPTOP-P5P268SM;router_py_before_kill;60;18;1021;1021;0;56,71;36,05;37,31;43,14;61,59;81,61;0;0;0;0
2026-08-29T21:34:34+02:00;LAPTOP-P5P268SM;router_py_during_kill;60;42;2371;2371;0;56,44;18,58;19,05;19,22;19,65;47,67;0;0;0;0
2026-08-29T21:35:42+02:00;LAPTOP-P5P268SM;router_py_after_kill;60;60;3440;3440;0;57,33;53,21;226,6;392,04;468,68;525,24;0;0;0;0
2026-08-29T22:04:00+02:00;LAPTOP-P5P268SM;router_py_before_kill;60;18;1055;1055;0;58,58;18,34;26,68;34,74;52,77;80,15;0;0;0;0
2026-08-29T22:04:49+02:00;LAPTOP-P5P268SM;router_py_during_kill;60;42;2452;2452;0;58,38;1,68;2,22;2,58;4,01;15,8;0;0;0;0
2026-08-29T22:05:57+02:00;LAPTOP-P5P268SM;router_py_after_kill;60;60;3508;3508;0;58,45;19,91;42,54;44,01;365,86;558,97;0;0;0;0
2026-08-29T22:13:13+02:00;LAPTOP-P5P268SM;router_py_before_kill;60;18;1029;957;72;57,13;123,2;808,17;893,66;1078,15;1189,01;72;72;72;72
2026-08-29T22:14:02+02:00;LAPTOP-P5P268SM;router_py_during_kill;60;42;2431;2431;0;57,86;2,07;2,64;2,99;4,06;23,46;0;0;0;0
2026-08-29T22:15:10+02:00;LAPTOP-P5P268SM;router_py_after_kill;60;60;3501;3501;0;58,35;18,89;64,36;275,29;402,57;477,5;0;0;0;0
2026-08-29T22:24:09+02:00;LAPTOP-P5P268SM;router_py_before_kill;60;18;1041;1041;0;57,81;434,06;771,97;807,5;834,87;844,03;0;0;0;0
2026-08-29T22:24:58+02:00;LAPTOP-P5P268SM;router_py_during_kill;60;42;2361;2361;0;56,21;3,54;4,14;4,49;5,48;19,16;0;0;0;0
2026-08-29T22:26:06+02:00;LAPTOP-P5P268SM;router_py_after_kill;60;60;3442;3442;0;57,37;54,29;336,4;463,63;579,02;613,94;0;0;0;0
