timestamp;implementation;target_tps;duration_s;sent;received;errors;achieved_tps;p50_ms;p90_ms;p95_ms;p99_ms;max_ms
2026-08-01T20:46:29+02:00;router_py;80;60;4688;4688;0;78,13;51,59;92,44;97,02;107,01;124,46
2026-08-01T20:48:26+02:00;router_java;100;60;5786;5786;0;96,43;52,26;93,63;94,79;105,18;276,27
2026-08-01T20:54:15+02:00;router_cpp;100;60;5782;5782;0;96,36;2,39;2,96;3,24;3,66;10,37
2026-08-01T22:38:30+02:00;router_py;80;120;9365;9365;0;78,04;51,68;92,49;97,15;104,97;128,62
2026-08-01T22:41:13+02:00;router_java;100;120;11588;11588;0;96,56;52,03;93,43;94,18;104,01;315,47
2026-08-01T22:48:14+02:00;router_cpp;100;120;11587;11587;0;96,55;2,34;3,13;3,33;3,8;14,59
2026-08-01T23:06:47+02:00;router_py;80;300;23218;23218;0;77,39;52,79;94,91;102,97;112,92;249,91
2026-08-01T23:13:04+02:00;router_java;100;300;28971;28971;0;96,57;52,05;93,45;94,14;103,75;317,23
2026-08-01T23:19:13+02:00;router_cpp;100;300;28917;28917;0;96,39;2,36;3,03;3,25;3,68;19,13
2026-08-02T09:02:31+02:00;router_py;100;120;11631;11631;0;96,92;52,82;93,86;98,71;113,6;175,17
2026-08-02T09:05:48+02:00;router_java;100;120;11396;11396;0;94,96;52,91;94,58;96,51;105,39;318,81
2026-08-02T09:06:45+02:00;
2026-08-02T10:56:19+02:00;router_py;100;120;11526;11519;7;96,05;90,41;546,17;1238,4;5890,49;6281,39
2026-08-02T10:59:33+02:00;router_java;100;120;11535;11535;0;96,12;52,53;94,08;95,11;104,97;306,38
2026-08-02T11:00:32+02:00;
2026-08-02T20:08:42+02:00;router_py;80;600;46562;46562;0;77,6;52,31;93,45;99,19;106,14;144,17
2026-08-02T20:21:27+02:00;router_java;100;600;58044;58044;0;96,74;51,97;93,35;93,85;103,47;309,11
2026-08-02T20:33:37+02:00;router_cpp;100;600;58072;58072;0;96,79;2,34;3,25;3,39;3,78;17,91
2026-08-04T22:01:44+02:00;router_py;80;120;9160;9155;5;76,33;392,7;2557,34;3978,22;4971,57;5240,84
2026-08-04T22:04:29+02:00;router_java;100;120;11215;11215;0;93,45;54,67;95,19;98,27;401,55;632,13
2026-08-04T22:07:01+02:00;router_cpp;100;120;11099;11099;0;92,49;11,82;12,5;5257,84;9749,63;10863,84
2026-08-15T21:06:09+02:00;router_py;80;180;13561;13501;60;75,33;11690,45;14819,41;15232,66;15900,74;16446,09
2026-08-15T21:10:12+02:00;router_java;100;180;13693;13692;1;91,42;10,97;11,94;32,98;1138,59;6035,85
2026-08-15T21:14:28+02:00;router_cpp;100;180;17122;17122;0;95,12;21,34;26,85;35,08;490,09;1453,05
2026-08-15T21:36:44+02:00;router_py;80;180;13974;13974;0;77,63;90,49;105,74;115,72;129,07;233,87
2026-08-15T21:40:54+02:00;router_java;100;180;1478;1477;1;85,79;3,21;3,68;3,77;4,06;87,27
2026-08-15T21:44:55+02:00;router_cpp;100;180;17103;17103;0;95,02;21,41;29,05;32,97;63,38;137,91
2026-08-15T22:01:05+02:00;router_py;80;180;13840;13840;0;76,89;92,12;117,39;234,86;731,97;1341,32
2026-08-16T10:47:07+02:00;router_py;80;120;9370;9370;0;78,08;89,45;92,82;94,79;101,36;120,62
2026-08-16T10:50:02+02:00;router_java;100;120;11039;11038;1;94,73;11,06;11,49;12,05;3904,48;4944,78
2026-08-16T10:52:49+02:00;router_cpp;100;120;11486;11486;0;95,71;21,31;21,52;21,63;22,9;51,17
2026-08-16T11:50:10+02:00;router_py;80;120;9110;9110;0;75,92;97,55;111,77;131,67;260,86;407,41
2026-08-16T11:53:07+02:00;router_java;100;120;11054;11054;0;92,11;6,6;8,09;8,61;9,93;20,57
2026-08-16T12:02:43+02:00;router_cpp;100;120;11231;11231;0;93,59;23,2;25,47;26,51;29,2;71,18
2026-08-16T20:34:32+02:00;router_py;80;120;9402;9402;0;78,35;88,9;91,83;93,2;95,16;123,63
2026-08-16T20:37:24+02:00;router_java;100;120;11649;11649;0;97,07;3,18;4,13;4,61;5,28;8,45
2026-08-16T20:40:09+02:00;router_cpp;100;120;11615;11615;0;96,79;2,62;3,52;3,68;4,29;5,37
2026-08-16T21:02:52+02:00;router_py;80;120;9314;9314;0;77,61;90,58;98,59;103,47;113,09;135,32
2026-08-16T21:05:45+02:00;router_java;100;120;11602;11602;0;96,68;3,3;3,99;4,23;4,86;14,64
2026-08-16T21:08:30+02:00;router_cpp;100;120;11562;11426;136;96,35;4268,54;6814,01;7160,2;7458,41;7546,89
2026-08-16T22:18:47+02:00;router_py;80;120;9325;9325;0;77,71;5,26;6,57;7,36;8,38;20,25
2026-08-16T22:21:39+02:00;router_java;100;120;11575;11575;0;96,46;3,32;4,62;5,01;5,8;19,84
2026-08-16T22:24:25+02:00;router_cpp;100;120;11579;11579;0;96,49;2,32;2,8;2,97;3,53;5,2
