timestamp;implementation;target_tps;duration_s;sent;received;errors;achieved_tps;p50_ms;p95_ms;p99_ms;max_ms
2026-07-30T10:44:42+02:00;xv5;50;10;490;490;0;48.92;8.86;12.4;15.75;23.31
2026-07-30T10:45:04+02:00;xv5;100;10;957;957;0;95.67;10.82;63.57;96.47;123.84
2026-07-30T10:45:33+02:00;xv6java;50;10;477;477;0;47.65;21.45;225.54;392.65;456.26
2026-07-30T10:46:01+02:00;xv6java;100;10;907;907;0;90.6;3329.78;3989.78;4054.65;4089.82
2026-07-30T10:46:54+02:00;xv7cpp;100;10;971;971;0;97.01;0.88;1.32;1.67;10.04
2026-07-30T23:06:03+02:00;xv5;50;30;1475;1225;250;49.16;5201.76;9696.57;10038.46;10162.59
2026-07-30T23:06:44+02:00;xv5;100;30;2918;1169;1749;97.25;11572.79;22026.72;22803.04;22996.27
2026-07-30T23:07:26+02:00;xv5;200;30;5700;807;4893;189.97;13238.64;24727.16;25576.2;30792.45
2026-07-30T23:08:09+02:00;xv5;400;30;10876;1056;9820;362.51;15865.06;30454.62;31795.16;32111.53
2026-07-30T23:16:21+02:00;xv7cpp;50;30;1478;1478;0;49.27;20.72;10616.15;11483.76;11672.17
2026-07-30T23:16:59+02:00;xv7cpp;100;30;2925;2925;0;97.49;2.1;2.97;3.38;7.37
2026-07-30T23:17:37+02:00;xv7cpp;200;30;5724;5724;0;190.77;2.11;2.9;3.3;9.1
2026-07-30T23:18:15+02:00;xv7cpp;400;30;9300;9300;0;310.0;2856.03;11983.29;12467.7;12585.81
2026-07-30T23:19:30+02:00;xv5;50;30;1476;1217;259;49.19;5488.62;9906.6;10248.46;10358.39
2026-07-30T23:20:12+02:00;xv5;100;30;2918;1169;1749;97.26;12138.37;22058.52;22859.86;23058.65
2026-07-30T23:20:55+02:00;xv5;200;30;5701;983;4718;190.02;16087.6;28801.72;29623.23;29857.19
2026-07-30T23:21:37+02:00;xv5;400;30;10872;1044;9828;362.39;16162.71;30481.78;31761.01;32154.74
2026-07-30T23:22:17+02:00;xv7cpp;50;30;1479;1479;0;49.3;2.19;3.1;3.58;4.1
2026-07-30T23:22:55+02:00;xv7cpp;100;30;2920;2920;0;97.31;2.14;2.96;3.32;4.4
2026-07-30T23:23:33+02:00;xv7cpp;200;30;5703;5703;0;190.09;2.21;3.06;3.58;10.42
2026-07-30T23:24:11+02:00;xv7cpp;400;30;9062;9062;0;302.04;3.51;3.96;17.36;124.34
2026-07-30T23:42:47+02:00;xv5;50;30;1452;1118;334;48.38;5982.6;11488.51;11875.46;12005.39
2026-07-30T23:43:30+02:00;xv5;100;30;2842;923;1919;94.71;14294.2;24561.65;25198.35;25354.9
2026-07-30T23:44:13+02:00;xv5;200;30;5457;703;4754;181.88;14278.05;26492.16;27623.82;30550.39
2026-07-30T23:44:55+02:00;xv5;400;30;10051;757;9294;335.02;17092.15;31218.84;32454.98;32826.07
2026-07-30T23:46:29+02:00;xv6java;50;30;1430;1168;262;47.65;5863.09;10099.8;10475.46;10594.9
2026-07-30T23:47:19+02:00;xv6java;100;30;2754;1212;1542;91.78;11809.62;20612.2;21461.44;21694.63
2026-07-30T23:48:09+02:00;xv6java;200;30;5129;1182;3947;170.9;15688.72;26194.07;27271.14;27544.62
2026-07-30T23:48:58+02:00;xv6java;400;30;7802;1090;6712;259.98;16091.33;28429.68;29409.77;29670.28
2026-07-30T23:50:50+02:00;xv7cpp;200;30;5471;5471;0;182.34;5.61;6.13;6.62;43.01
2026-07-30T23:51:29+02:00;xv7cpp;400;30;8839;8839;0;294.63;3.69;7.36;33.28;175.63
2026-07-31T00:09:59+02:00;xv7cpp;50;30;1480;1480;0;49.3;2.18;3.21;3.64;15.2
2026-07-31T00:10:37+02:00;xv7cpp;100;30;2930;2930;0;97.65;2.06;2.96;3.27;5.03
2026-07-31T00:11:15+02:00;xv7cpp;200;30;5752;5752;0;191.73;1.96;2.85;3.21;9.83
2026-07-31T00:11:53+02:00;xv7cpp;400;30;9329;9329;0;310.94;1.88;3.48;3.61;41.77
2026-07-31T00:21:04+02:00;xv6java;50;30;1464;1252;212;48.77;4722.59;8984.94;9327.45;9473.02
2026-07-31T00:21:48+02:00;xv6java;100;30;2882;1329;1553;96.04;11137.07;20025.3;20950.94;21140.39
2026-07-31T00:22:32+02:00;xv6java;200;30;5598;1358;4240;186.58;14682.76;26089.5;27250.86;27552.68
2026-07-31T00:23:16+02:00;xv6java;400;30;8975;1182;7793;299.13;15599.03;29281.52;30351.32;30548.92
2026-07-31T00:27:17+02:00;xv5;50;30;1477;1215;262;49.23;5256.83;9917.57;10273.75;10389.63
2026-07-31T00:27:59+02:00;xv5;100;30;2924;1151;1773;97.44;12099.97;22223.19;23026.52;23242.3
2026-07-31T00:28:42+02:00;xv5;200;30;5718;824;4894;190.59;13360.18;24519.19;25695.1;30710.12
2026-07-31T00:29:24+02:00;xv5;400;30;10958;1069;9889;365.24;16224.71;30392.23;31785.06;32111.78
2026-07-31T11:38:23+02:00;xv5;50;30;1475;1475;0;49.13;5.27;7.99;9.02;14.74
2026-07-31T11:39:04+02:00;xv5;100;30;2912;2912;0;97.05;5.1;7.25;8.4;12.43
2026-07-31T11:39:47+02:00;xv5;200;30;5668;3188;2480;188.92;17245.35;19376.45;19570.45;19659.43
2026-07-31T11:40:30+02:00;xv5;400;30;10794;1408;9386;359.76;14496.16;28290.6;31111.4;31292.41
2026-07-31T11:52:57+02:00;xv5;50;30;1474;1474;0;49.12;57.32;102.43;115.74;125.66
2026-07-31T11:53:40+02:00;xv5;100;30;2874;2874;0;95.77;5070.04;7756.05;8026.89;8113.81
2026-07-31T11:54:22+02:00;xv5;200;30;5530;1306;4224;184.33;13437.73;26633.29;27759.94;28036.96
2026-07-31T11:55:05+02:00;xv5;400;30;10269;1238;9031;342.28;15485.89;29917.42;31182.36;31426.48
2026-07-31T13:17:08+02:00;xv6java;50;30;1464;1464;0;48.8;61.69;103.03;108.54;265.87
2026-07-31T13:17:52+02:00;xv6java;100;30;2870;2870;0;95.63;52.73;96.64;112.76;331.34
2026-07-31T13:18:35+02:00;xv6java;200;30;5555;5084;471;185.12;3840.65;7180.04;7455.82;7606.28
2026-07-31T13:19:19+02:00;xv6java;400;30;9049;5078;3971;301.59;8908.32;16961.72;17782.86;17951.88
2026-07-31T13:20:01+02:00;xv7cpp;50;30;1480;1480;0;49.32;2.29;3.45;3.83;8.13
2026-07-31T13:20:39+02:00;xv7cpp;100;30;2929;2929;0;97.62;2.13;3.08;3.44;4.33
2026-07-31T13:21:22+02:00;xv7cpp;200;30;5748;5748;0;191.59;2.04;2.92;3.22;4.22
2026-07-31T13:22:00+02:00;xv7cpp;400;30;9386;9386;0;312.86;1.8;2.52;2.97;6.61
2026-07-31T23:52:48+02:00;xv5;80;30;2337;2337;0;77.88;51.93;102.43;108.44;125.26
2026-07-31T23:53:37+02:00;xv6java;80;30;2326;2326;0;77.51;54.02;101.84;116.62;304.68
2026-07-31T23:54:18+02:00;xv7cpp;80;30;2328;2328;0;77.58;2.43;3.43;3.96;15.18
2026-08-01T12:59:06+02:00;router_py;50;30;1473;1473;0;49.07;55.68;97.91;103.72;114.59
2026-08-01T13:01:08+02:00;router_java;50;30;1445;1445;0;48.16;63.74;107.38;219.94;525.04
2026-08-01T13:09:10+02:00;router_cpp;50;30;1437;1437;0;47.87;4.92;5.74;7.21;11.52
2026-08-01T13:16:56+02:00;router_cpp;50;30;1438;1438;0;47.93;4.01;4.87;5.82;8.64
2026-08-01T13:17:57+02:00;router_java;50;30;1444;1444;0;48.12;63.47;106.8;150.29;378.67
2026-08-01T13:19:39+02:00;router_py;50;30;1446;1446;0;48.19;63.36;106.12;118.47;126.31
2026-08-01T20:44:54+02:00;router_py;50;30;1478;1478;0;49.23;53.09;92.94;95.75;102.07;122.22
2026-08-02T08:57:59+02:00;router_py;50;30;1478;1478;0;49.25;53.91;93.24;95.54;99.7;105.15
2026-08-02T08:58:46+02:00;router_cpp;50;30;1470;1470;0;49.0;2.52;3.25;3.46;3.96;4.68
2026-08-02T10:50:15+02:00;router_py;50;30;1475;1475;0;49.16;54.57;93.82;96.24;101.77;112.3
2026-08-02T10:50:58+02:00;router_py;100;30;2909;2909;0;96.95;52.2;93.73;97.05;106.51;126.12
2026-08-02T10:51:40+02:00;router_py;200;30;5698;4461;1237;189.9;6472.49;10670.15;11059.7;11425.53;11605.58
2026-08-02T10:52:23+02:00;router_py;400;30;10548;3966;6582;351.57;12780.34;20772.9;22047.04;23228.69;23589.86
2026-08-04T21:35:50+02:00;router_py;50;30;1446;1446;0;48.2;67.14;105.82;119.91;126.16;147.24
2026-08-04T21:36:32+02:00;router_py;100;30;2846;2841;5;94.86;474.55;743.32;805.01;905.91;5420.75
2026-08-04T21:37:13+02:00;router_py;200;30;5526;3666;1860;184.16;7634.46;13729.1;14591.53;15032.56;15175.64
2026-08-04T21:37:55+02:00;router_py;400;30;10315;3760;6555;343.79;12112.99;21778.16;23174.45;23926.77;24152.03
2026-08-04T21:46:20+02:00;router_java;50;30;1456;1456;0;48.51;62.62;100.66;104.48;227.17;536.84
2026-08-04T21:47:12+02:00;router_java;100;30;2827;2827;0;94.23;56.83;149.01;369.91;519.96;669.76
2026-08-04T21:48:04+02:00;router_java;200;30;5452;4852;600;181.71;5228.99;7778.22;8135.52;8350.7;8511.9
2026-08-04T21:48:58+02:00;router_java;400;30;10090;4928;5162;336.31;11466.6;18637.77;19509.94;20207.62;20457.67
2026-08-04T21:57:06+02:00;router_cpp;50;30;1441;1441;0;48.02;21.91;6676.89;8118.2;9283.59;9574.85
2026-08-04T21:57:45+02:00;router_cpp;100;30;2782;2782;0;92.73;6.13;6.56;6.69;6.88;11.41
2026-08-04T21:58:23+02:00;router_cpp;200;30;5252;5252;0;175.04;6.25;6.89;6.98;8.23;42.1
2026-08-04T21:59:02+02:00;router_cpp;400;30;10019;10019;0;333.94;3.56;4.21;4.67;5.48;42.53
2026-08-05T21:27:58+02:00;router_py;50;30;1448;1448;0;48.24;65.45;105.83;116.9;126.19;167.93
2026-08-05T21:28:39+02:00;router_py;100;30;2849;2846;3;94.94;390.07;668.86;735.15;857.66;5321.29
2026-08-05T21:29:21+02:00;router_py;200;30;5513;3499;2014;183.75;8906.57;14575.68;15254.52;15811.63;16026.45
2026-08-05T21:30:03+02:00;router_py;400;30;10319;3796;6523;343.95;12053.53;21547.93;22634.76;23677.95;24018.0
2026-08-05T21:31:25+02:00;router_java;50;30;1456;1456;0;48.52;62.63;99.64;104.21;288.59;598.78
2026-08-05T21:32:17+02:00;router_java;100;30;2828;2828;0;94.25;57.15;120.02;386.31;521.86;663.34
2026-08-05T21:33:10+02:00;router_java;200;30;5189;4543;646;172.95;5945.5;8033.8;8388.42;8566.29;8706.75
2026-08-05T21:34:04+02:00;router_java;400;30;10095;4853;5242;336.49;11660.03;18910.23;19802.74;20488.58;20673.3
2026-08-05T21:42:03+02:00;router_cpp;50;30;1443;1443;0;48.09;5.89;6.4;6.57;7.04;12.23
2026-08-05T21:42:42+02:00;router_cpp;100;30;2786;2786;0;92.86;6.0;6.4;6.56;7.04;14.38
2026-08-05T21:43:20+02:00;router_cpp;200;30;5188;5188;0;172.93;5.57;6.59;6.68;7.12;11.23
2026-08-05T21:43:59+02:00;router_cpp;400;30;9951;9951;0;331.69;3.98;5.1;5.42;6.63;41.5
2026-08-06T21:54:27+02:00;router_py;50;30;1477;1477;0;49.2;54.25;93.38;95.92;100.04;104.68
2026-08-06T21:55:10+02:00;router_py;100;30;2894;2894;0;96.44;53.04;95.27;100.54;111.09;134.84
2026-08-06T21:55:53+02:00;router_py;200;30;5603;4143;1460;186.73;8305.69;12062.61;12446.46;12724.71;12891.8
2026-08-06T21:56:30+02:00;router_py;400;30;10984;3229;7755;366.1;18794.46;24724.46;25497.39;26061.78;26247.45
2026-08-06T21:57:45+02:00;router_java;50;30;1474;1474;0;49.13;58.51;95.7;102.1;104.5;234.03
2026-08-06T21:58:32+02:00;router_java;100;30;2879;2879;0;95.95;52.72;94.4;96.98;204.09;355.55
2026-08-06T21:59:24+02:00;router_java;200;30;5524;5028;496;184.11;4136.64;6891.05;7234.81;7644.9;7814.85
2026-08-06T22:00:16+02:00;router_java;400;30;10448;4969;5479;348.25;10204.2;18188.24;19178.9;19974.81;20214.41
2026-08-06T22:07:44+02:00;router_cpp;50;30;1474;1474;0;49.11;2.57;3.54;3.9;4.17;4.96
2026-08-06T22:08:23+02:00;router_cpp;100;30;2907;2907;0;96.88;2.31;3.14;3.35;3.84;5.37
2026-08-06T22:09:04+02:00;router_cpp;200;30;5365;5365;0;178.81;4.3;6.47;6.57;6.8;41.17
2026-08-06T22:09:51+02:00;router_cpp;400;30;9312;9312;0;310.39;4.82;8.0;10.44;17.94;42.98
2026-08-06T22:24:40+02:00;router_py;50;10;492;492;0;49.13;57.0;97.4;102.01;103.92;114.88
2026-08-06T22:25:09+02:00;router_java;50;10;491;491;0;49.0;61.71;102.52;103.24;164.33;309.93
2026-08-06T22:25:30+02:00;router_cpp;50;10;490;490;0;48.94;2.63;3.3;3.53;3.86;4.12
2026-08-06T22:31:06+02:00;router_py;50;10;491;491;0;49.02;57.26;95.43;101.78;103.43;126.44
2026-08-06T22:32:16+02:00;router_java;50;10;470;470;0;46.96;82.86;150.2;285.05;512.76;682.16
2026-08-06T22:32:39+02:00;router_cpp;50;10;489;489;0;48.88;2.67;3.51;3.75;4.37;6.15
2026-08-07T20:46:37+02:00;router_py;50;10;492;492;0;49.14;56.48;95.65;99.52;103.97;109.66
2026-08-07T20:47:54+02:00;router_java;50;10;442;442;0;44.14;110.04;579.49;775.77;1006.77;1496.24
2026-08-07T20:48:19+02:00;router_cpp;50;10;483;483;0;48.24;21.23;21.82;22.06;25.08;83.56
2026-08-13T21:27:23+02:00;router_py;50;10;489;489;0;48.83;62.37;101.5;103.58;112.37;124.12
2026-08-13T21:27:54+02:00;router_java;50;10;488;488;0;48.7;62.65;103.53;112.93;201.49;330.1
2026-08-13T21:28:15+02:00;router_cpp;50;10;485;485;0;48.4;4.41;5.3;5.62;7.53;28.02
2026-08-13T21:51:44+02:00;router_py;50;10;489;489;0;48.81;62.04;101.07;103.68;111.65;144.96
2026-08-13T21:52:25+02:00;router_java;50;10;484;0;484;48.32;None;None;None;None;None
2026-08-13T21:52:53+02:00;router_cpp;50;10;478;478;0;47.79;21.5;21.96;24.0;66.65;147.02
2026-08-13T21:58:15+02:00;router_py;50;10;489;489;0;48.86;61.74;101.53;103.47;123.05;143.49
2026-08-13T21:58:46+02:00;router_java;50;10;485;485;0;48.41;65.94;105.76;116.05;252.8;355.87
2026-08-13T21:59:07+02:00;router_cpp;50;10;487;487;0;48.7;4.08;4.87;5.09;5.84;6.35
2026-08-13T22:04:08+02:00;router_py;50;10;493;493;0;49.25;54.2;93.42;95.89;101.81;102.74
2026-08-13T22:04:35+02:00;router_java;50;10;492;492;0;49.1;61.38;100.88;102.48;113.44;160.35
2026-08-13T22:04:55+02:00;router_cpp;50;10;491;491;0;49.0;2.55;3.43;3.71;4.15;4.43
2026-08-14T00:10:11+02:00;router_py;30;10;293;293;0;29.22;58.06;103.41;103.77;104.77;112.23
2026-08-14T00:10:44+02:00;router_java;30;10;292;292;0;29.19;69.22;103.84;105.21;276.42;383.26
