timestamp;actor;event
2026-08-22T23:37:49+02:00;crypto_host;up
2026-08-22T23:37:49+02:00;downstream_host;up
2026-08-22T23:37:50+02:00;router_1;up
2026-08-22T23:37:50+02:00;upstream_1;up
2026-08-22T23:37:52+02:00;downstream_host;scenario start
2026-08-22T23:38:03+02:00;downstream_host;pre-attack sanity check rows=3/3
2026-08-22T23:38:03+02:00;downstream_host;hard_killed
2026-08-22T23:38:13+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:38:23+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:38:33+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:38:43+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:38:53+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:39:03+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:39:13+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:39:23+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:39:33+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:39:43+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:39:53+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:40:03+02:00;router_1;downstream_host down: connections={'downstream': False, 'upstream': False} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:40:03+02:00;downstream_host;restarted
2026-08-22T23:40:07+02:00;router_1;reconnected=True
2026-08-22T23:40:08+02:00;downstream_host;recovery verdict=PASS rows=3/3
2026-08-22T23:40:13+02:00;crypto_host;scenario start
2026-08-22T23:40:13+02:00;crypto_host;hard_killed
2026-08-22T23:40:23+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:40:23+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:40:33+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:40:34+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:40:44+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:40:44+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:40:54+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:40:55+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:41:05+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:41:05+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:41:15+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:41:16+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:41:26+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:41:27+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:41:37+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:41:37+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:41:47+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:41:48+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:41:58+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:41:58+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:42:08+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:42:09+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:42:13+02:00;router_1;crypto_host down: connections={'downstream': True, 'upstream': True} queue_depth=0 response_queue_depth=0 pending_count=0
2026-08-22T23:42:13+02:00;upstream_1;mid-outage test batch: 3/3 round-tripped
2026-08-22T23:42:14+02:00;crypto_host;restarted
2026-08-22T23:42:16+02:00;crypto_host;recovery verdict=PASS rows=3/3
