item,name_en,name_de,description
HV11_011,Cash reserves,Barreserve,"Cash in hand (Item 010): legal tender including foreign banknotes and coins, postage stamps and court fee stamps; Deutsche Mark and legacy currencies of other euro area Member States accepted in exchange for euro are also reported here; commemorative coins bought above face value, gold coins and gold bullion → HV11/176. Balances with central banks (Item 020): only those balances readily available at all times including foreign currency overnight balances with the central banks of all countries in which the reporting institution is established; other balances such as overnight balances held as part of the Bundesbank deposit facility, claims from sale and repurchase transactions, and time deposits are to be shown under HV11/061."
HV11_021,Treasury bills,Schatzwechsel und unverzinsliche Schatzanweisungen,"Treasury bills, Treasury discount paper and similar debt instruments issued by public bodies that have been discounted and are eligible for refinancing with the central banks of the countries in which the reporting bank is established, with original maturity not exceeding one year (Item 040). Debt instruments of public bodies failing these conditions are to be shown under HV11/081 (Money market paper) or HV11/082 (Bonds and notes) if they are negotiable, and under HV11/071 (Loans and advances to non-banks) if they are not. Public bodies include government bodies, their special funds and other off-budget entities. Includes instruments eligible for refinancing with the Deutsche Bundesbank (Item 041) and those eligible with central banks of other establishment countries (Item 042)."
HV11_031,Other public-sector debt instruments,Schuldtitel oeffentlicher Stellen,"Debt instruments of public bodies eligible for central bank refinancing other than treasury bills reported under HV11/021, and longer-dated public-sector instruments not eligible for refinancing with central banks. Short-term instruments of public bodies that do not meet the maturity condition of HV11/021 are shown under HV11/081 (Money market paper) if negotiable. Longer-dated negotiable public-sector bonds are shown under HV11/082 (Bonds and notes). Non-negotiable instruments → HV11/071. This item captures the residual public-sector debt instrument positions not classified elsewhere in the HV11 form."
HV11_061,Loans and advances to banks (MFIs),Forderungen an Kreditinstitute,"All types of loans and advances to domestic or foreign banks arising from banking transactions, including bills accepted from banks other than those recorded under Item 050 (bills eligible for refinancing) or negotiable debt securities within the meaning of HV11/080 (Item 060/061). Also includes: claims from genuine repurchase transactions; registered debt securities, non-negotiable bearer debt securities, order debt securities not forming part of a total issue, registered money market paper and non-negotiable certificates held vis-à-vis banks; registered participation certificates and non-negotiable bearer participation certificates; claims on the Deutsche Bundesbank from overnight deposits, time deposits and securities repurchase agreements (other than the readily available balances of HV11/020), as well as balances and foreign currency balances with central banks of establishment countries that are not readily available at all times; debit balances in clearing accounts for banks; claims bought through factoring or forfeiting; and amounts saved under savings contracts with building and loan associations. Transmitted loans are recorded here if transmitted to an intermediary bank which lends the funds on in its own name. Redemption claims from securities and precious metal loans are not to be shown here."
HV11_071,Loans and advances to non-banks (non-MFIs),Forderungen an Kunden,"All types of assets constituting loans and advances to domestic and foreign non-banks, other than bills within the meaning of Item 050 (Bills eligible for refinancing) or negotiable debt securities within the meaning of HV11/080 (Item 070/071). Includes: registered debt securities, non-negotiable bearer debt securities and certificates, order debt securities not forming part of a total issue, registered money market paper and non-negotiable bearer money market paper, registered and non-negotiable bearer participation certificates and other repayable securitised participation rights; claims from genuine repurchase transactions; claims bought through factoring or forfeiting; trade receivables from own trading in goods; claims from returned cheques and redrafted bills; loans backed by bills not discounted and credited to borrowers; financial leasing claims. Claims from borrower's note transactions (Schuldscheingeschäfte or Teilschuldscheingeschäfte) are shown here depending on the obligor. Only the total amount of loans outstanding is to be recorded — not the total amount of lending commitments. Transmitted loans passed to an intermediary bank → HV11/061."
HV11_080,Debt instruments,Schuldverschreibungen und andere festverzinsliche Wertpapiere,"Bonds and notes (Item 082): if negotiable, includes fixed interest bearer debt securities, order debt securities forming part of a total issue, old-style Treasury notes (Kassenobligationen) and Debt Register claims; interest coupons received before maturity or tradable separately; securities pledged to the Deutsche Bundesbank as collateral for open market and overnight loans; perpetual bonds. Covers government bonds (including Bundesschatzanweisungen and Schätze), state government, local government, corporate bonds and bank debt securities including Pfandbriefe. Zero coupon bonds, variable coupon bonds tied to index or interbank rates and asset-backed securities are also deemed fixed interest securities. Negotiable certificates (structured bonds, participation certificates, index-linked bonds) are included if they are debt securities under Section 793 German Civil Code. Money market paper (Item 081): negotiable Treasury bills, Treasury notes and other money market paper (commercial paper, Euronotes, certificates of deposit, bons de caisse) other than those issued by public bodies falling under Item 040, with original maturity up to and including one year. ECB debt securities (Item 079) are also included."
HV11_090,Shares and other variable-yield securities,Aktien und andere nicht festverzinsliche Wertpapiere,"Shares and other variable-yield securities other than those recorded under HV11/100 (Participating interests) or HV11/110 (Shares in affiliated enterprises). Includes: temporary stock certificates, subscription rights, mutual fund shares (including property fund certificates issued by open-ended real estate funds), warrants, dividend coupons, negotiable bearer or order participation certificates and other variable yield securities provided they are listed on a stock exchange. Dividend coupons received before maturities are also included. Repurchased options on own securities are to be deducted from liability item HV21/234. Short sales of securities not held on the balance sheet result in negative amounts."
HV11_100,Participations,Beteiligungen,"Participating interests and amounts paid up on cooperative society shares (Item 100). Includes ownership interests not evidenced by securities: shares in private limited companies, participating interests held as a personally liable partner in general partnerships, limited partnerships, limited companies with one or more general partners (Kommanditgesellschaften auf Aktien, KGaA), shares held by limited partners, and participating interests of silent partners qualifying as balance sheet equity. Shares in incorporated enterprises whose nominal values in the aggregate exceed one-fifth of the nominal capital of the enterprise are deemed to be participating interests in cases of doubt. Amounts paid up on cooperative society shares are included. For participating interests in affiliated enterprises see HV11/110."
HV11_110,Shares in affiliated enterprises,Anteile an verbundenen Unternehmen,"Shares in affiliated enterprises including ownership interests not evidenced by securities (Item 110). These are to be shown here even if they constitute participating interests. Covers all interests in domestic and foreign subsidiaries and other affiliated enterprises where the reporting institution exercises controlling influence."
HV11_120,Trust assets,Treuhandvermoegen,"Assets which the reporting institution administers in its own name but on behalf of third parties (Item 120). The amounts shown under HV11/120 and HV21/240 must tally. Comprises: fiduciary loans (Item 121) — loans recorded under HV11/061 or HV11/071 to the extent they relate to banks or non-banks respectively, classified by obligor; securities managed on a fiduciary basis (Item 122) — shares and other variable yield securities as well as negotiable debt instruments held in the bank's own name but on behalf of third parties (non-negotiable debt instruments and other fixed income securities → HV11/123); other fiduciary assets (Item 123) — e.g. participating interests and land and buildings managed on a fiduciary basis. Securities kept in safe custody for customers as part of safe custody business are not deemed to be securities managed on a fiduciary basis."
HV11_130,Equalisation claims against public authorities,Ausgleichsforderungen gegen oeffentliche Hand,"Equalisation claims on general government including debt securities resulting from conversion of equalisation claims (Item 130). Equalisation claims on the Currency Conversion Equalisation Fund are to be recorded here. Debt securities issued by the Currency Conversion Equalisation Fund created as a result of the conversion of equalisation claims are also to be included irrespective of whether the reporting institution obtained the debt securities as a result of converting its own equalisation claims or bought them from another institution or a foreign trade enterprise. The sub-item debt securities resulting from the conversion of equalisation claims (Item 131) is to be shown separately."
