account_from,account_to,bista_item,bista_description,form,side
0100,0199,HV11_011,Barreserve - Kassenbestand,HV11,asset
0200,0299,HV11_011,Barreserve - Guthaben Zentralnotenbank,HV11,asset
0300,0399,HV11_011,Barreserve - Postgiro,HV11,asset
0500,0599,HV11_021,Schatzwechsel und unverzinsliche Schatzanweisungen,HV11,asset
0600,0699,HV11_031,Schuldtitel oeffentlicher Stellen,HV11,asset
1000,1499,HV11_061,Forderungen an Kreditinstitute - taeglich faellig,HV11,asset
1500,1999,HV11_061,Forderungen an Kreditinstitute - andere Forderungen,HV11,asset
2000,2499,HV11_061,Forderungen an Kreditinstitute - Termin,HV11,asset
3000,3499,HV11_071,Forderungen an Kunden - kurzfristig,HV11,asset
3500,3999,HV11_071,Forderungen an Kunden - mittelfristig,HV11,asset
4000,4199,HV11_071,Forderungen an Kunden - Hypothekendarlehen,HV11,asset
4200,4499,HV11_071,Forderungen an Kunden - sonstige,HV11,asset
5000,5199,HV11_080,Schuldverschreibungen und festverzinsliche Wertpapiere,HV11,asset
5200,5399,HV11_080,Staatsanleihen und oeffentliche Schuldverschreibungen,HV11,asset
5400,5499,HV11_090,Aktien und nicht festverzinsliche Wertpapiere,HV11,asset
5500,5599,HV11_090,Investmentfondsanteile,HV11,asset
5600,5699,HV11_100,Beteiligungen,HV11,asset
5700,5799,HV11_110,Anteile an verbundenen Unternehmen,HV11,asset
5800,5899,HV11_120,Treuhandvermoegen,HV11,asset
5900,5999,HV11_130,Ausgleichsforderungen gegen oeffentliche Hand,HV11,asset
6000,6099,HV11_140,Immaterielle Anlagegueter,HV11,asset
6100,6299,HV11_150,Sachanlagen,HV11,asset
6300,6399,HV11_150,Geleaste Sachanlagen,HV11,asset
6500,6599,HV11_160,Ausstehende Einlagen auf gezeichnetes Kapital,HV11,asset
7000,7499,HV11_170,Sonstige Vermoegensgegenstände,HV11,asset
7500,7599,HV11_175,Steuererstattungsansprueche,HV11,asset
7600,7699,HV11_170,Derivate Handelsbestand (Aktiva),HV11,asset
7900,7999,HV11_176,Rechnungsabgrenzungsposten Aktiva,HV11,asset
8000,8199,HV21_210,Verbindlichkeiten gg Kreditinstitute - taeglich faellig,HV21,liability
8200,8399,HV21_210,Verbindlichkeiten gg Kreditinstitute - Termin,HV21,liability
8400,8599,HV21_222,Spareinlagen,HV21,liability
8600,8799,HV21_220,Sichteinlagen Kunden (Nicht-MFI),HV21,liability
8800,8999,HV21_220,Termineinlagen Kunden (Nicht-MFI),HV21,liability
9000,9099,HV21_230,Verbriefte Verbindlichkeiten - Schuldverschreibungen,HV21,liability
9100,9199,HV21_230,Verbriefte Verbindlichkeiten - Geldmarktpapiere,HV21,liability
9200,9299,HV21_240,Treuhandverbindlichkeiten,HV21,liability
9300,9399,HV21_250,Sonstige Verbindlichkeiten,HV21,liability
9400,9499,HV21_280,Steuerverbindlichkeiten,HV21,liability
9500,9599,HV21_260,Rechnungsabgrenzungsposten Passiva,HV21,liability
9600,9799,HV21_270,Rueckstellungen,HV21,liability
9800,9849,HV21_300,Nachrangige Verbindlichkeiten,HV21,liability
9850,9899,HV21_310,Genussrechtskapital,HV21,liability
9900,9909,HV21_320,Fonds fuer allgemeine Bankrisiken,HV21,liability
9910,9939,HV21_325,Gezeichnetes Kapital,HV21,liability
9940,9959,HV21_325,Kapitalruecklage,HV21,liability
9960,9979,HV21_325,Gewinnruecklagen,HV21,liability
9980,9999,HV21_325,Bilanzgewinn/-verlust,HV21,liability
